,label,dim_0,dim_1,layer,fold,text,iteration
0,Rouble,1.5181574821472168,1.023996114730835,average,train,What is this currency of russia,0
1,Rouble,-0.8082038164138794,0.06543421745300293,output,train,What is this currency of russia,0
2,Pound,-0.9049614667892456,1.143967628479004,average,train,What is this currency of england,0
3,Pound,-1.7165067195892334,-0.9316397905349731,output,train,What is this currency of england,0
4,Moscow,0.4277253746986389,2.2620437145233154,average,train,What is this capital of russia,0
5,Moscow,-0.642808735370636,-0.022296667098999023,output,train,What is this capital of russia,0
6,London,-1.9953936338424683,2.3820152282714844,average,train,What is this capital of england,0
7,London,-1.611285924911499,-0.916469931602478,output,train,What is this capital of england,0
8,Rouble,1.131298542022705,2.9204163551330566,average,train,What 's russia 's currency,0
9,Rouble,-0.2946151793003082,0.39348214864730835,output,train,What 's russia 's currency,0
10,Pound,-1.2918202877044678,3.0403878688812256,average,train,What 's england 's currency,0
11,Pound,-0.852992594242096,-0.3790469169616699,output,train,What 's england 's currency,0
12,Moscow,0.04086649417877197,4.158463954925537,average,train,What 's russia 's capital,0
13,Moscow,-0.3742085099220276,0.10333047807216644,output,train,What 's russia 's capital,0
14,London,-2.3822522163391113,4.278435707092285,average,train,What 's england 's capital,0
15,London,-0.9480476975440979,-0.28928518295288086,output,train,What 's england 's capital,0
16,Rouble,2.3944201469421387,1.024954080581665,average,dev,What currency is used in russia,0
17,Rouble,-0.7815671563148499,0.04244254529476166,output,dev,What currency is used in russia,0
18,Pound,-0.028698690235614777,1.144925594329834,average,dev,What currency is used in england,0
19,Pound,-1.5802921056747437,-0.8405280113220215,output,dev,What currency is used in england,0
20,Moscow,1.094635248184204,2.9271838665008545,average,dev,What is the capital and largest city of russia,0
21,Moscow,-0.44642361998558044,-0.09554480016231537,output,dev,What is the capital and largest city of russia,0
22,London,-1.3284835815429688,3.0471553802490234,average,dev,What is the capital and largest city of england,0
23,London,-1.3966190814971924,-0.7737558484077454,output,dev,What is the capital and largest city of england,0
24,Rouble,1.7149662971496582,1.6352431774139404,average,dev,What 's the currency in russia,0
25,Rouble,-0.27989596128463745,0.3800918459892273,output,dev,What 's the currency in russia,0
26,Pound,-0.7081525325775146,1.7552146911621094,average,dev,What 's the currency in england,0
27,Pound,-0.980387270450592,-0.47034645080566406,output,dev,What 's the currency in england,0
28,Moscow,0.41518163681030273,3.53747296333313,average,dev,What 's the capital of russia,0
29,Moscow,-0.2566615641117096,-0.10530896484851837,output,dev,What 's the capital of russia,0
30,London,-2.00793719291687,3.657444477081299,average,dev,What 's the capital of england,0
31,London,-0.8194267153739929,-0.38918834924697876,output,dev,What 's the capital of england,0
32,Rouble,1.7481569051742554,1.2739763259887695,average,train,What is this currency of russia,10
33,Rouble,-0.7406082153320312,-0.20754578709602356,output,train,What is this currency of russia,10
34,Pound,-0.7349610328674316,1.3639483451843262,average,train,What is this currency of england,10
35,Pound,-1.2587915658950806,-1.067794919013977,output,train,What is this currency of england,10
36,Moscow,0.6877245903015137,2.4920835494995117,average,train,What is this capital of russia,10
37,Moscow,-0.0632370114326477,0.17097137868404388,output,train,What is this capital of russia,10
38,London,-1.7953933477401733,2.5820555686950684,average,train,What is this capital of england,10
39,London,-0.6360780000686646,-0.7134679555892944,output,train,What is this capital of england,10
40,Rouble,1.3212982416152954,3.110395908355713,average,train,What 's russia 's currency,10
41,Rouble,-0.020625457167625427,0.47886955738067627,output,train,What 's russia 's currency,10
42,Pound,-1.1618196964263916,3.2003679275512695,average,train,What 's england 's currency,10
43,Pound,-0.5381742119789124,-0.39065855741500854,output,train,What 's england 's currency,10
44,Moscow,0.26086586713790894,4.328503131866455,average,train,What 's russia 's capital,10
45,Moscow,0.15141728520393372,0.32589828968048096,output,train,What 's russia 's capital,10
46,London,-2.222252130508423,4.418475151062012,average,train,What 's england 's capital,10
47,London,0.07855916768312454,-0.11568203568458557,output,train,What 's england 's capital,10
48,Rouble,2.544419527053833,1.1949341297149658,average,dev,What currency is used in russia,10
49,Rouble,-0.8373628854751587,-0.16546404361724854,output,dev,What currency is used in russia,10
50,Pound,0.06130175292491913,1.2849059104919434,average,dev,What currency is used in england,10
