,iteration,value,metric
0,0,0.125,accuracy
1,0,2.1280128955841064,loss
2,1,0.125,accuracy
3,1,2.1040642261505127,loss
4,2,0.25,accuracy
5,2,2.081294059753418,loss
6,3,0.125,accuracy
7,3,2.0591323375701904,loss
8,4,0.125,accuracy
9,4,2.0370657444000244,loss
10,5,0.125,accuracy
11,5,2.0167105197906494,loss
12,6,0.125,accuracy
13,6,1.995033621788025,loss
14,7,0.125,accuracy
15,7,1.9730650186538696,loss
16,8,0.25,accuracy
17,8,1.9517196416854858,loss
18,9,0.25,accuracy
19,9,1.9280908107757568,loss
20,10,0.25,accuracy
21,10,1.903859257698059,loss
22,11,0.25,accuracy
23,11,1.878769040107727,loss
24,12,0.25,accuracy
25,12,1.8531800508499146,loss
26,13,0.25,accuracy
27,13,1.827398657798767,loss
28,14,0.25,accuracy
29,14,1.8006914854049683,loss
30,15,0.25,accuracy
31,15,1.774234652519226,loss
32,16,0.25,accuracy
33,16,1.7466204166412354,loss
34,17,0.25,accuracy
35,17,1.7190377712249756,loss
36,18,0.25,accuracy
37,18,1.6911563873291016,loss
38,19,0.25,accuracy
39,19,1.6635987758636475,loss
40,20,0.25,accuracy
41,20,1.6354750394821167,loss
42,21,0.375,accuracy
43,21,1.6071736812591553,loss
44,22,0.375,accuracy
45,22,1.5792773962020874,loss
46,23,0.375,accuracy
47,23,1.5510896444320679,loss
48,24,0.5,accuracy
49,24,1.5230987071990967,loss
50,25,0.625,accuracy
51,25,1.4951989650726318,loss
52,26,0.625,accuracy
53,26,1.4672037363052368,loss
54,27,0.625,accuracy
55,27,1.4393415451049805,loss
56,28,0.625,accuracy
57,28,1.4116960763931274,loss
58,29,0.625,accuracy
59,29,1.3849586248397827,loss
60,30,0.75,accuracy
61,30,1.3576401472091675,loss
62,31,0.75,accuracy
63,31,1.330937385559082,loss
64,32,0.75,accuracy
65,32,1.3035874366760254,loss
66,33,0.75,accuracy
67,33,1.2764313220977783,loss
68,34,0.75,accuracy
69,34,1.2497421503067017,loss
70,35,0.75,accuracy
71,35,1.2231348752975464,loss
72,36,0.75,accuracy
73,36,1.1964510679244995,loss
74,37,0.75,accuracy
75,37,1.1705923080444336,loss
76,38,0.75,accuracy
77,38,1.1446571350097656,loss
78,39,0.75,accuracy
79,39,1.1189501285552979,loss
80,40,0.75,accuracy
81,40,1.0938262939453125,loss
82,41,0.75,accuracy
83,41,1.068073034286499,loss
84,42,0.75,accuracy
85,42,1.0425833463668823,loss
86,43,0.75,accuracy
87,43,1.0183463096618652,loss
88,44,0.75,accuracy
89,44,0.9936156272888184,loss
90,45,0.75,accuracy
91,45,0.9689536094665527,loss
92,46,0.75,accuracy
93,46,0.9446200728416443,loss
94,47,0.75,accuracy
95,47,0.9212908744812012,loss
96,48,0.75,accuracy
97,48,0.897365152835846,loss
98,49,0.75,accuracy
99,49,0.8737618923187256,loss
100,50,1.0,accuracy
101,50,0.8507240414619446,loss
102,51,1.0,accuracy
103,51,0.8282256126403809,loss
104,52,1.0,accuracy
105,52,0.805305540561676,loss
106,53,1.0,accuracy
107,53,0.7824532985687256,loss
108,54,1.0,accuracy
109,54,0.7604674696922302,loss
110,55,1.0,accuracy
111,55,0.7386982440948486,loss
112,56,1.0,accuracy
113,56,0.7168508172035217,loss
114,57,1.0,accuracy
115,57,0.6952493190765381,loss
116,58,1.0,accuracy
117,58,0.6727164387702942,loss
118,59,1.0,accuracy
119,59,0.6490631699562073,loss
120,60,1.0,accuracy
121,60,0.6254459023475647,loss
122,61,1.0,accuracy
123,61,0.6020628213882446,loss
124,62,1.0,accuracy
125,62,0.5791014432907104,loss
126,63,1.0,accuracy
127,63,0.5568144917488098,loss
128,64,1.0,accuracy
129,64,0.5346034169197083,loss
130,65,1.0,accuracy
131,65,0.5127719044685364,loss
132,66,1.0,accuracy
133,66,0.49131014943122864,loss
134,67,1.0,accuracy
135,67,0.47045448422431946,loss
136,68,1.0,accuracy
137,68,0.4497063457965851,loss
138,69,1.0,accuracy
139,69,0.42952489852905273,loss
140,70,1.0,accuracy
141,70,0.409657746553421,loss
142,71,1.0,accuracy
143,71,0.39039406180381775,loss
144,72,1.0,accuracy
145,72,0.3713497519493103,loss
146,73,1.0,accuracy
147,73,0.3532160222530365,loss
148,74,1.0,accuracy
149,74,0.3358914852142334,loss
150,75,1.0,accuracy
151,75,0.3187522292137146,loss
152,76,1.0,accuracy
153,76,0.3021067976951599,loss
154,77,1.0,accuracy
155,77,0.28617292642593384,loss
156,78,1.0,accuracy
157,78,0.2707233428955078,loss
158,79,1.0,accuracy
159,79,0.25593602657318115,loss
160,80,1.0,accuracy
161,80,0.24213124811649323,loss
162,81,1.0,accuracy
163,81,0.2278916835784912,loss
164,82,1.0,accuracy
165,82,0.21417680382728577,loss
166,83,1.0,accuracy
167,83,0.20094695687294006,loss
168,84,1.0,accuracy
169,84,0.18842126429080963,loss
170,85,1.0,accuracy
171,85,0.17683085799217224,loss
172,86,1.0,accuracy
173,86,0.1651228368282318,loss
174,87,1.0,accuracy
175,87,0.1550072580575943,loss
176,88,1.0,accuracy
177,88,0.14387965202331543,loss
178,89,1.0,accuracy
179,89,0.13399671018123627,loss
180,90,1.0,accuracy
181,90,0.12450763583183289,loss
182,91,1.0,accuracy
183,91,0.11544898897409439,loss
184,92,1.0,accuracy
185,92,0.10708451271057129,loss
186,93,1.0,accuracy
187,93,0.09885983169078827,loss
188,94,1.0,accuracy
189,94,0.09116248786449432,loss
190,95,1.0,accuracy
191,95,0.08406828343868256,loss
192,96,1.0,accuracy
193,96,0.07733839750289917,loss
194,97,1.0,accuracy
195,97,0.07108254730701447,loss
196,98,1.0,accuracy
197,98,0.06501506268978119,loss
198,99,1.0,accuracy
199,99,0.05942527577280998,loss
200,100,1.0,accuracy
201,100,0.054059918969869614,loss
202,101,1.0,accuracy
203,101,0.0491173155605793,loss
204,102,1.0,accuracy
205,102,0.04457535967230797,loss
206,103,1.0,accuracy
207,103,0.04040932282805443,loss
208,104,1.0,accuracy
209,104,0.03659069910645485,loss
210,105,1.0,accuracy
211,105,0.033010084182024,loss
212,106,1.0,accuracy
213,106,0.029796011745929718,loss
214,107,1.0,accuracy
215,107,0.02678920328617096,loss
216,108,1.0,accuracy
217,108,0.0239805169403553,loss
218,109,1.0,accuracy
219,109,0.021437354385852814,loss
220,110,1.0,accuracy
221,110,0.01918783411383629,loss
222,111,1.0,accuracy
223,111,0.01706026867032051,loss
224,112,1.0,accuracy
225,112,0.015141765587031841,loss
226,113,1.0,accuracy
227,113,0.013398705050349236,loss
228,114,1.0,accuracy
229,114,0.011845609173178673,loss
230,115,1.0,accuracy
231,115,0.010457911528646946,loss
232,116,1.0,accuracy
233,116,0.009241798892617226,loss
234,117,1.0,accuracy
235,117,0.00810176134109497,loss
236,118,1.0,accuracy
237,118,0.007097654510289431,loss
238,119,1.0,accuracy
239,119,0.006243855692446232,loss
240,120,1.0,accuracy
241,120,0.005484020337462425,loss
242,121,1.0,accuracy
243,121,0.004819999914616346,loss
244,122,1.0,accuracy
245,122,0.004216340370476246,loss
246,123,1.0,accuracy
247,123,0.0036548261996358633,loss
248,124,1.0,accuracy
249,124,0.0031765999738126993,loss
250,125,1.0,accuracy
251,125,0.002774246037006378,loss
252,126,1.0,accuracy
253,126,0.002403133548796177,loss
254,127,1.0,accuracy
255,127,0.0020884620025753975,loss
256,128,1.0,accuracy
257,128,0.0017982159042730927,loss
258,129,1.0,accuracy
259,129,0.0015502000460401177,loss
260,130,1.0,accuracy
261,130,0.0013339477591216564,loss
262,131,1.0,accuracy
263,131,0.0011547659523785114,loss
264,132,1.0,accuracy
265,132,0.0009849757188931108,loss
266,133,1.0,accuracy
267,133,0.0008515481604263186,loss
268,134,1.0,accuracy
269,134,0.000723591132555157,loss
270,135,1.0,accuracy
271,135,0.0006178191979415715,loss
272,136,1.0,accuracy
273,136,0.0005255229771137238,loss
274,137,1.0,accuracy
275,137,0.00045000360114499927,loss
276,138,1.0,accuracy
277,138,0.0003810566267929971,loss
278,139,1.0,accuracy
279,139,0.0003263250400777906,loss
280,140,1.0,accuracy
281,140,0.00027343505644239485,loss
282,141,1.0,accuracy
283,141,0.00023250564117915928,loss
284,142,1.0,accuracy
285,142,0.00019529261044226587,loss
286,143,1.0,accuracy
287,143,0.0001638763933442533,loss
288,144,1.0,accuracy
289,144,0.00013786472845822573,loss
290,145,1.0,accuracy
291,145,0.0001162478220066987,loss
292,146,1.0,accuracy
293,146,9.781830885913223e-05,loss
294,147,1.0,accuracy
295,147,8.242759213317186e-05,loss
296,148,1.0,accuracy
297,148,6.799006223445758e-05,loss
298,149,1.0,accuracy
299,149,5.6890014093369246e-05,loss
300,150,1.0,accuracy
301,150,4.7115536290220916e-05,loss
302,151,1.0,accuracy
303,151,3.95910901715979e-05,loss
304,152,1.0,accuracy
305,152,3.2558105885982513e-05,loss
306,153,1.0,accuracy
307,153,2.750693056441378e-05,loss
308,154,1.0,accuracy
309,154,2.2470505427918397e-05,loss
310,155,1.0,accuracy
311,155,1.8655966414371505e-05,loss
312,156,1.0,accuracy
313,156,1.5213878214126453e-05,loss
314,157,1.0,accuracy
315,157,1.2650950338866096e-05,loss
316,158,1.0,accuracy
317,158,1.037111178447958e-05,loss
318,159,1.0,accuracy
319,159,8.568105840822682e-06,loss
320,160,1.0,accuracy
321,160,6.973698873480316e-06,loss
322,161,1.0,accuracy
323,161,5.707117452402599e-06,loss
324,162,1.0,accuracy
325,162,4.6044397095101885e-06,loss
326,163,1.0,accuracy
327,163,3.7401791814772878e-06,loss
328,164,1.0,accuracy
329,164,3.0249275368987583e-06,loss
330,165,1.0,accuracy
331,165,2.5033896235981956e-06,loss
332,166,1.0,accuracy
333,166,2.0265540570107987e-06,loss
334,167,1.0,accuracy
