,iteration,value,metric
0,0,0.25,accuracy
1,0,0.5095043182373047,loss
2,1,0.25,accuracy
3,1,0.5037355422973633,loss
4,2,0.25,accuracy
5,2,0.48444491624832153,loss
6,3,0.25,accuracy
7,3,0.5024533271789551,loss
8,4,0.25,accuracy
9,4,0.49027299880981445,loss
10,5,0.25,accuracy
11,5,0.5026373863220215,loss
12,6,0.25,accuracy
13,6,0.5136195421218872,loss
14,7,0.25,accuracy
15,7,0.4583902359008789,loss
16,8,0.25,accuracy
17,8,0.4809405207633972,loss
18,9,0.375,accuracy
19,9,0.4531191885471344,loss
20,10,0.375,accuracy
21,10,0.4767521023750305,loss
22,11,0.5,accuracy
23,11,0.4476327896118164,loss
24,12,0.5,accuracy
25,12,0.4592594504356384,loss
26,13,0.5,accuracy
27,13,0.4709262251853943,loss
28,14,0.5,accuracy
29,14,0.4676598906517029,loss
30,15,0.5,accuracy
31,15,0.4262567162513733,loss
32,16,0.5,accuracy
33,16,0.43651282787323,loss
34,17,0.5,accuracy
35,17,0.42647916078567505,loss
36,18,0.5,accuracy
37,18,0.42724835872650146,loss
38,19,0.5,accuracy
39,19,0.4435986280441284,loss
40,20,0.5,accuracy
41,20,0.4442965090274811,loss
42,21,0.5,accuracy
43,21,0.37325841188430786,loss
44,22,0.5,accuracy
45,22,0.4069703221321106,loss
46,23,0.5,accuracy
47,23,0.4341886341571808,loss
48,24,0.5,accuracy
49,24,0.3676683008670807,loss
50,25,0.5,accuracy
51,25,0.4428509473800659,loss
52,26,0.5,accuracy
53,26,0.38753628730773926,loss
54,27,0.5,accuracy
55,27,0.3815799951553345,loss
56,28,0.5,accuracy
57,28,0.3694722056388855,loss
58,29,0.625,accuracy
59,29,0.3889397382736206,loss
60,30,0.625,accuracy
61,30,0.3413819372653961,loss
62,31,0.625,accuracy
63,31,0.3422898054122925,loss
64,32,0.75,accuracy
65,32,0.27248620986938477,loss
66,33,0.75,accuracy
67,33,0.3474213480949402,loss
68,34,0.75,accuracy
69,34,0.29108282923698425,loss
70,35,0.75,accuracy
71,35,0.3731711506843567,loss
72,36,1.0,accuracy
73,36,0.3358849287033081,loss
74,37,1.0,accuracy
75,37,0.3282909095287323,loss
76,38,1.0,accuracy
77,38,0.2952778935432434,loss
78,39,1.0,accuracy
79,39,0.29625165462493896,loss
80,40,1.0,accuracy
81,40,0.23598937690258026,loss
82,41,1.0,accuracy
83,41,0.256700336933136,loss
84,42,1.0,accuracy
85,42,0.23299996554851532,loss
86,43,1.0,accuracy
87,43,0.1617841124534607,loss
88,44,1.0,accuracy
89,44,0.25619208812713623,loss
90,45,1.0,accuracy
91,45,0.2524389624595642,loss
92,46,1.0,accuracy
93,46,0.2073386013507843,loss
94,47,1.0,accuracy
95,47,0.21715402603149414,loss
96,48,1.0,accuracy
97,48,0.23358553647994995,loss
98,49,1.0,accuracy
99,49,0.20430126786231995,loss
100,50,1.0,accuracy
101,50,0.18541684746742249,loss
102,51,1.0,accuracy
103,51,0.21304655075073242,loss
104,52,1.0,accuracy
