,label,dim_0,dim_1,layer,fold,text,iteration
0,Rouble,-1.849521279335022,0.7859916090965271,average,train,What is this currency of russia,0
1,Rouble,0.3851950168609619,-1.2285287380218506,output,train,What is this currency of russia,0
2,Pound,0.20297938585281372,-0.022731781005859375,average,train,What is this currency of england,0
3,Pound,-0.28650805354118347,-0.13834017515182495,output,train,What is this currency of england,0
4,Moscow,-4.139318943023682,0.2732544243335724,average,train,What is this capital of russia,0
5,Moscow,1.1096022129058838,-1.8289238214492798,output,train,What is this capital of russia,0
6,London,-2.086818218231201,-0.5354689359664917,average,train,What is this capital of england,0
7,London,0.18549850583076477,-0.4425742030143738,output,train,What is this capital of england,0
8,Rouble,1.8420993089675903,-0.11961546540260315,average,train,What 's russia 's currency,0
9,Rouble,-0.28073713183403015,-0.13147783279418945,output,train,What 's russia 's currency,0
10,Pound,3.8945999145507812,-0.928338885307312,average,train,What 's england 's currency,0
11,Pound,-0.15289461612701416,0.020542360842227936,output,train,What 's england 's currency,0
12,Moscow,-0.44769835472106934,-0.6323526501655579,average,train,What 's russia 's capital,0
13,Moscow,-0.17508302628993988,-0.005842328071594238,output,train,What 's russia 's capital,0
14,London,1.6048022508621216,-1.4410760402679443,average,train,What 's england 's capital,0
15,London,-0.08261549472808838,0.10411274433135986,output,train,What 's england 's capital,0
16,Rouble,0.1618611216545105,0.23205626010894775,average,dev,What currency is used in russia,0
17,Rouble,-0.33093294501304626,-0.1911667287349701,output,dev,What currency is used in russia,0
18,Pound,2.2143616676330566,-0.5766671895980835,average,dev,What currency is used in england,0
19,Pound,-0.20309042930603027,-0.03914651274681091,output,dev,What currency is used in england,0
20,Moscow,-2.9572253227233887,0.8598753213882446,average,dev,What is the capital and largest city of russia,0
21,Moscow,0.8053728342056274,-1.7342557907104492,output,dev,What is the capital and largest city of russia,0
22,London,-0.9047245979309082,0.05115187168121338,average,dev,What is the capital and largest city of england,0
23,London,-0.11873100697994232,-0.3479059636592865,output,dev,What is the capital and largest city of england,0
24,Rouble,1.1419397592544556,0.38287943601608276,average,dev,What 's the currency in russia,0
25,Rouble,-0.3641113042831421,-0.23061978816986084,output,dev,What 's the currency in russia,0
26,Pound,3.1944403648376465,-0.42584407329559326,average,dev,What 's the currency in england,0
27,Pound,-0.2362687587738037,-0.07859957218170166,output,dev,What 's the currency in england,0
28,Moscow,-1.9771465063095093,1.0106984376907349,average,dev,What 's the capital of russia,0
29,Moscow,0.4804423451423645,-1.4313735961914062,output,dev,What 's the capital of russia,0
30,London,0.07535409927368164,0.20197495818138123,average,dev,What 's the capital of england,0
31,London,-0.325062096118927,-0.18418556451797485,output,dev,What 's the capital of england,0
32,Rouble,-1.8207862377166748,0.6814912557601929,average,train,What is this currency of russia,10
33,Rouble,0.5984717011451721,-0.6851876378059387,output,train,What is this currency of russia,10
34,Pound,0.22519230842590332,-0.12576551735401154,average,train,What is this currency of england,10
35,Pound,0.05278820917010307,0.22980079054832458,output,train,What is this currency of england,10
36,Moscow,-4.104538917541504,0.15532967448234558,average,train,What is this capital of russia,10
