,text,dim_0,dim_1,layer,label,fold,grad_0,grad_1,iteration
0,<unk>,0.0,0.0,Embedding,,,0.0,0.0,0
1,'s,0.5672054886817932,-1.1429848670959473,Embedding,,,0.5672054886817932,-1.1429848670959473,0
2,What,-0.1738997846841812,0.3586830198764801,Embedding,,,-0.1738997846841812,0.3586830198764801,0
3,capital,0.9464263916015625,1.8505979776382446,Embedding,,,0.9464263916015625,1.8505979776382446,0
4,currency,-1.7521251440048218,-1.5352615118026733,Embedding,,,-1.7521251440048218,-1.5352615118026733,0
5,england,-0.18761053681373596,-1.3383504152297974,Embedding,,,-0.18761053681373596,-1.3383504152297974,0
6,is,-0.4654504954814911,-0.360408216714859,Embedding,,,-0.4654504954814911,-0.360408216714859,0
7,of,-0.8957938551902771,0.09486125409603119,Embedding,,,-0.8957938551902771,0.09486125409603119,0
8,russia,-0.20110341906547546,-1.5543625354766846,Embedding,,,-0.20110341906547546,-1.5543625354766846,0
9,this,-0.7762163281440735,-0.8125700354576111,Embedding,,,-0.7762163281440735,-0.8125700354576111,0
10,linear1.weight_0,-0.4307372570037842,-0.07202036678791046,param,,,-0.4307372570037842,-0.07202036678791046,0
11,linear1.weight_1,0.684329628944397,0.4196145236492157,param,,,0.684329628944397,0.4196145236492157,0
12,linear1.bias,-0.5294116735458374,0.44332244992256165,bias,,,-0.5294116735458374,0.44332244992256165,0
13,linear2.weight_0,0.04211591184139252,-0.6916404962539673,param,,,0.04211591184139252,-0.6916404962539673,0
14,linear2.weight_1,0.2431889921426773,-0.2870747447013855,param,,,0.2431889921426773,-0.2870747447013855,0
15,linear2.bias,0.5218998789787292,0.0017122578574344516,bias,,,0.5218998789787292,0.0017122578574344516,0
16,<unk>,0.0,0.0,Embedding,,,0.0,0.0,10
17,'s,0.5334817171096802,-1.1652014255523682,Embedding,,,0.5334817171096802,-1.1652014255523682,10
18,What,-0.18367275595664978,0.35226812958717346,Embedding,,,-0.18367275595664978,0.35226812958717346,10
19,capital,0.9366534948348999,1.8441829681396484,Embedding,,,0.9366534948348999,1.8441829681396484,10
20,currency,-1.7521251440048218,-1.5352615118026733,Embedding,,,-1.7521251440048218,-1.5352615118026733,10
21,england,-0.19344249367713928,-1.342201828956604,Embedding,,,-0.19344249367713928,-1.342201828956604,10
22,is,-0.45836156606674194,-0.3557147979736328,Embedding,,,-0.45836156606674194,-0.3557147979736328,10
23,of,-0.8887048959732056,0.09955465793609619,Embedding,,,-0.8887048959732056,0.09955465793609619,10
24,russia,-0.2050444334745407,-1.5569260120391846,Embedding,,,-0.2050444334745407,-1.5569260120391846,10
25,this,-0.769127368927002,-0.8078765869140625,Embedding,,,-0.769127368927002,-0.8078765869140625,10
26,linear1.weight_0,-0.4307372570037842,-0.07202036678791046,param,,,-0.4307372570037842,-0.07202036678791046,10
27,linear1.weight_1,0.6247141361236572,0.455462247133255,param,,,0.6247141361236572,0.455462247133255,10
28,linear1.bias,-0.5294116735458374,0.38015931844711304,bias,,,-0.5294116735458374,0.38015931844711304,10
29,linear2.weight_0,0.04211591184139252,-0.6406669616699219,param,,,0.04211591184139252,-0.6406669616699219,10
30,linear2.weight_1,0.2431889921426773,-0.22615671157836914,param,,,0.2431889921426773,-0.22615671157836914,10
31,linear2.bias,0.6099486947059631,0.048846129328012466,bias,,,0.6099486947059631,0.048846129328012466,10
32,<unk>,0.0,0.0,Embedding,,,0.0,0.0,20
33,'s,0.527162492275238,-1.1698811054229736,Embedding,,,0.527162492275238,-1.1698811054229736,20
34,What,-0.18519091606140137,0.35114482045173645,Embedding,,,-0.18519091606140137,0.35114482045173645,20
35,capital,0.9351353645324707,1.8430596590042114,Embedding,,,0.9351353645324707,1.8430596590042114,20
36,currency,-1.7521251440048218,-1.5352615118026733,Embedding,,,-1.7521251440048218,-1.5352615118026733,20
37,england,-0.19438324868679047,-1.3429006338119507,Embedding,,,-0.19438324868679047,-1.3429006338119507,20
38,is,-0.4567200839519501,-0.3544982969760895,Embedding,,,-0.4567200839519501,-0.3544982969760895,20
39,of,-0.8870634436607361,0.10077117383480072,Embedding,,,-0.8870634436607361,0.10077117383480072,20
40,russia,-0.20562177896499634,-1.557350516319275,Embedding,,,-0.20562177896499634,-1.557350516319275,20
41,this,-0.7674859166145325,-0.8066601157188416,Embedding,,,-0.7674859166145325,-0.8066601157188416,20
42,linear1.weight_0,-0.4307372570037842,-0.07202036678791046,param,,,-0.4307372570037842,-0.07202036678791046,20
43,linear1.weight_1,0.6123383045196533,0.46266403794288635,param,,,0.6123383045196533,0.46266403794288635,20
44,linear1.bias,-0.5294116735458374,0.37056076526641846,bias,,,-0.5294116735458374,0.37056076526641846,20
45,linear2.weight_0,0.04211591184139252,-0.6361654996871948,param,,,0.04211591184139252,-0.6361654996871948,20
46,linear2.weight_1,0.2431889921426773,-0.2025422304868698,param,,,0.2431889921426773,-0.2025422304868698,20
47,linear2.bias,0.6206057071685791,0.07278009504079819,bias,,,0.6206057071685791,0.07278009504079819,20
48,<unk>,0.0,0.0,Embedding,,,0.0,0.0,30
49,'s,0.523918628692627,-1.1723523139953613,Embedding,,,0.523918628692627,-1.1723523139953613,30
50,What,-0.18597275018692017,0.35054919123649597,Embedding,,,-0.18597275018692017,0.35054919123649597,30
51,capital,0.9343535900115967,1.8424642086029053,Embedding,,,0.9343535900115967,1.8424642086029053,30
52,currency,-1.7521251440048218,-1.5352615118026733,Embedding,,,-1.7521251440048218,-1.5352615118026733,30
53,england,-0.1949506402015686,-1.343332052230835,Embedding,,,-0.1949506402015686,-1.343332052230835,30
54,is,-0.45587995648384094,-0.35385826230049133,Embedding,,,-0.45587995648384094,-0.35385826230049133,30
55,of,-0.886223316192627,0.10141119360923767,Embedding,,,-0.886223316192627,0.10141119360923767,30
56,russia,-0.2058362513780594,-1.5575145483016968,Embedding,,,-0.2058362513780594,-1.5575145483016968,30
57,this,-0.7666457891464233,-0.8060200810432434,Embedding,,,-0.7666457891464233,-0.8060200810432434,30
58,linear1.weight_0,-0.4307372570037842,-0.07202036678791046,param,,,-0.4307372570037842,-0.07202036678791046,30
59,linear1.weight_1,0.6059239506721497,0.4664205312728882,param,,,0.6059239506721497,0.4664205312728882,30
60,linear1.bias,-0.5294116735458374,0.36552512645721436,bias,,,-0.5294116735458374,0.36552512645721436,30
61,linear2.weight_0,0.04211591184139252,-0.6351322531700134,param,,,0.04211591184139252,-0.6351322531700134,30
62,linear2.weight_1,0.2431889921426773,-0.1852847933769226,param,,,0.2431889921426773,-0.1852847933769226,30
63,linear2.bias,0.6247543692588806,0.09059735387563705,bias,,,0.6247543692588806,0.09059735387563705,30
64,<unk>,0.0,0.0,Embedding,,,0.0,0.0,40
65,'s,0.5223678350448608,-1.1735509634017944,Embedding,,,0.5223678350448608,-1.1735509634017944,40
66,What,-0.1863182932138443,0.35028210282325745,Embedding,,,-0.1863182932138443,0.35028210282325745,40
67,capital,0.9340081810951233,1.8421971797943115,Embedding,,,0.9340081810951233,1.8421971797943115,40
68,currency,-1.7521251440048218,-1.5352615118026733,Embedding,,,-1.7521251440048218,-1.5352615118026733,40
69,england,-0.19519881904125214,-1.3435238599777222,Embedding,,,-0.19519881904125214,-1.3435238599777222,40
70,is,-0.4554501175880432,-0.3535259962081909,Embedding,,,-0.4554501175880432,-0.3535259962081909,40
71,of,-0.8857933878898621,0.1017434373497963,Embedding,,,-0.8857933878898621,0.1017434373497963,40
72,russia,-0.2059336155653,-1.5575897693634033,Embedding,,,-0.2059336155653,-1.5575897693634033,40
73,this,-0.7662158608436584,-0.8056878447532654,Embedding,,,-0.7662158608436584,-0.8056878447532654,40
74,linear1.weight_0,-0.4307372570037842,-0.07202036678791046,param,,,-0.4307372570037842,-0.07202036678791046,40
75,linear1.weight_1,0.6027682423591614,0.46822598576545715,param,,,0.6027682423591614,0.46822598576545715,40
76,linear1.bias,-0.5294116735458374,0.3633783757686615,bias,,,-0.5294116735458374,0.3633783757686615,40
77,linear2.weight_0,0.04211591184139252,-0.635287880897522,param,,,0.04211591184139252,-0.635287880897522,40
